"Book,Character"
"Ramayan,Rama"
"Ramayan,Sita"
"Ramayan,Lakshmana"
"Ramayan,Hanuman"
"Ramayan,Ravana"
"Ramayan,Vibhishana"
"Ramayan,Jatayu"
"Ramayan,Sugriva"
"Ramayan,Vali"
"Ramayan,Kumbhakarna"
"Ramayan,Indrajit"
"Ramayan,Shurpanakha"
"Ramayan,Ahalya"
"Ramayan,Bharata"
"Ramayan,Shatrughna"
"Ramayan,Kaikeyi"
"Ramayan,Dasaratha"
"Ramayan,Janaka"
"Ramayan,Mandodari"
"Ramayan,Tara"
"Ramayan,Ruma"
"Ramayan,Nila"
"Ramayan,Angada"
"Ramayan,Jambavan"
"Ramayan,Sampati"
"Ramayan,Kevat"
"Ramayan,Sabari"
"Ramayan,Vishwamitra"
"Ramayan,Vashishta"
"Ramayan,Manthara"
"Ramayan,Mareecha"
"Ramayan,Subahu"
"Ramayan,Trijata"
"Ramayan,Nala"
"Ramayan,Mainda"
"Ramayan,Dhumraksha"
"Ramayan,Makaraksha"
"Ramayan,Tataka"
"Ramayan,Kabandha"
"Ramayan,Swayamprabha"
"Ramayan,Sarama"
"Ramayan,Ahiravana"
"Ramayan,Lava"
"Ramayan,Kusha"
"Ramayan,Agastya"
"Ramayan,Narada"
"Ramayan,Durvasa"
"Ramayan,Atikaya"
"Ramayan,Atirudra"
"Ramayan,Vayu"
"Ramayan,Kubera"
"Ramayan,Parshuram"
